has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label,label_encoded,code_density,py_file_ratio,suspicious_indicator_count,avg_file_size,is_unusually_small
1,10,17745,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1611,1,libpongram,malicious,1,161.1,0.1,3,1774.5,0
1,8,1181,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.672,727,1,sqlalchemy-presto,malicious,1,90.875,0.125,3,147.625,1
1,3,67242,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63511,2,xlsxwritre,malicious,1,21170.333333333332,0.6666666666666666,3,22414.0,0
1,10,17332,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1580,1,loadcpu,malicious,1,158.0,0.1,3,1733.2,0
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,py-urlpep,malicious,1,160.9,0.1,3,1761.6,0
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1613,1,selfcandyrand,malicious,1,161.3,0.1,3,1812.8,0
1,10,18256,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,esqsplithttpmc,malicious,1,161.4,0.1,3,1825.6,0
1,11,3037,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.748,1990,5,roblox-python-wrapper,malicious,1,180.9090909090909,0.45454545454545453,4,276.09090909090907,0
1,9,24775,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6.042,23977,2,WeedyCoder,malicious,1,2664.1111111111113,0.2222222222222222,4,2752.777777777778,0
1,10,17873,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1612,1,py-intelget,malicious,1,161.2,0.1,3,1787.3,0
1,8,37301,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,4.946,35499,4,plutotestingagain,malicious,1,4437.375,0.5,5,4662.625,0
1,8,2021,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.814,1464,1,16cent,malicious,1,183.0,0.125,3,252.625,0
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,cryptoocmpare,malicious,1,21172.333333333332,0.6666666666666666,3,22417.0,0
0,5,6674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.606,5100,1,bip39-mnemonic-decrypt,malicious,1,1020.0,0.2,1,1334.8,0
1,10,151613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486,150330,2,testinghelloma,malicious,1,15033.0,0.2,2,15161.3,0
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1581,1,hydralib,malicious,1,158.1,0.1,3,1746.0,0
0,6,287365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.957,45,1,fenomenallib,malicious,1,7.5,0.16666666666666666,0,47894.166666666664,1
1,10,18391,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1615,1,libcraftguipost,malicious,1,161.5,0.1,3,1839.1,0
1,7,2707,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.663,1442,1,py-cojrd,malicious,1,206.0,0.14285714285714285,4,386.7142857142857,0
1,10,5066,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.549,3247,3,browserdiv,malicious,1,324.7,0.3,3,506.6,0
0,17,52289,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.609,46517,8,pyfernet,malicious,1,2736.294117647059,0.47058823529411764,2,3075.823529411765,0
1,10,18645,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1618,1,libvirtualpipvisa,malicious,1,161.8,0.1,3,1864.5,0
1,10,17205,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1580,1,cvload,malicious,1,158.0,0.1,3,1720.5,0
1,3,67239,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63509,2,selennium,malicious,1,21169.666666666668,0.6666666666666666,3,22413.0,0
1,3,67230,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63503,2,pytoch,malicious,1,21167.666666666668,0.6666666666666666,3,22410.0,0
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1618,1,tpreplaceloadpong,malicious,1,161.8,0.1,3,1864.8,0
1,8,2616,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.653,1524,2,install-crypto,malicious,1,190.5,0.25,5,327.0,0
1,3,67263,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63525,2,reqeusts-toolbelt,malicious,1,21175.0,0.6666666666666666,3,22421.0,0
1,8,2663,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.654,1529,2,beautifulsoup-requests,malicious,1,191.125,0.25,5,332.875,0
1,11,1644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.252,934,3,db-aggregator-api,malicious,1,84.9090909090909,0.2727272727272727,3,149.45454545454547,1
1,10,18394,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1615,1,tposintlibintel,malicious,1,161.5,0.1,3,1839.4,0
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1579,1,cvvisa,malicious,1,157.9,0.1,3,1720.4,0
1,8,1255,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.739,801,1,antchain-sdk-stlr,malicious,1,100.125,0.125,3,156.875,1
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1618,1,selframrandommask,malicious,1,161.8,0.1,3,1864.8,0
1,10,16948,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1577,1,cvre,malicious,1,157.7,0.1,3,1694.8,0
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1583,1,craftgrand,malicious,1,158.3,0.1,3,1771.6,0
1,7,2989,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.71,1536,1,py-cordd,malicious,1,219.42857142857142,0.14285714285714285,4,427.0,0
1,3,67227,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63501,2,ygame,malicious,1,21167.0,0.6666666666666666,3,22409.0,0
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1611,1,tpintpaypal,malicious,1,161.1,0.1,3,1787.2,0
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,pyinstalleer,malicious,1,21171.666666666668,0.6666666666666666,3,22416.0,0
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libencodestringver,malicious,1,161.9,0.1,3,1877.6,0
0,6,2772,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.248,514,1,genuser,malicious,1,85.66666666666667,0.16666666666666666,2,462.0,1
1,10,18648,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1618,1,selfinfoinfohydra,malicious,1,161.8,0.1,3,1864.8,0
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1579,1,libgui,malicious,1,157.9,0.1,3,1720.4,0
1,10,153603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473,152318,2,kayauthgen,malicious,1,15231.8,0.2,2,15360.3,0
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautfiulsoup,malicious,1,21172.333333333332,0.6666666666666666,3,22417.0,0
1,10,19035,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1621,1,selfcontrolhydramine,malicious,1,162.1,0.1,3,1903.5,0
1,10,18212,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.203,1563,1,tppywloadhydra,malicious,1,156.3,0.1,3,1821.2,0
1,8,1194,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.601,648,1,fncache,malicious,1,81.0,0.125,3,149.25,1
1,10,17997,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1612,1,libintelinfo,malicious,1,161.2,0.1,3,1799.7,0
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1615,1,libnvidiamcver,malicious,1,161.5,0.1,3,1826.4,0
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.208,1583,1,pepcontrol,malicious,1,158.3,0.1,3,1771.6,0
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1609,1,py-adadcc,malicious,1,160.9,0.1,3,1761.6,0
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1615,1,tpsuperultramc,malicious,1,161.5,0.1,3,1826.4,0
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1617,1,py-studygetultra,malicious,1,161.7,0.1,3,1852.0,0
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,tpminecpurand,malicious,1,161.4,0.1,3,1813.6,0
1,10,17719,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1583,1,studyhydra,malicious,1,158.3,0.1,3,1771.9,0
1,10,150495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.476,149230,2,testomadaoto,malicious,1,14923.0,0.2,2,15049.5,0
1,7,3224,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.719,1613,1,colorayma,malicious,1,230.42857142857142,0.14285714285714285,4,460.57142857142856,0
1,12,2242,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.895,953,2,trove4j,malicious,1,79.41666666666667,0.16666666666666666,3,186.83333333333334,1
1,10,18261,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1615,1,esqpywrandomcc,malicious,1,161.5,0.1,3,1826.1,0
1,10,16948,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.209,1577,1,adcv,malicious,1,157.7,0.1,3,1694.8,0
1,3,67224,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63499,2,vype,malicious,1,21166.333333333332,0.6666666666666666,3,22408.0,0
