has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,16,291516,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4.82,7095,4,u283udsfru,malicious
1,10,18580,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.235,1677,1,libsuperproofint,malicious
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1613,1,selfinfocandy,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1611,1,esqpingpost,malicious
1,10,18392,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.221,1616,1,py-intpywhacked,malicious
1,10,17488,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1608,1,tppywver,malicious
1,10,18196,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.231,1674,1,tpguiintelget,malicious
1,7,2629,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.65,1416,1,cilorama,malicious
1,3,67254,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63519,2,dicord-webhook,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.213,1612,1,tptoolurlgui,malicious
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1617,1,py-adreplaceinfo,malicious
1,10,17959,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.201,1561,1,tptoolpywgui,malicious
1,10,17940,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1672,1,tplibintstr,malicious
1,3,1613592,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.824,1613063,2,networkdriver,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautifulsou4,malicious
1,8,1062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.626,760,2,blypack,malicious
1,7,1296,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.912,700,1,syntax-init,malicious
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1579,1,libcpu,malicious
1,10,18259,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1614,1,libpostcpumine,malicious
1,10,18708,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.236,1678,1,esqrandomurlhydra,malicious
1,9,1827,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.756,1207,2,artifact-lab-3-package-4c04b1a2,malicious
1,10,18964,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.234,1680,1,tpstudyosintvirtual,malicious
1,7,3400,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.775,1825,1,pytohn,malicious
1,7,3585,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.806,1928,1,pytprch,malicious
1,10,18776,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libnvidiarecontrol,malicious
1,11,3962,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.966,1921,3,calculator-2c397c49ab20c445,malicious
1,10,18253,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1614,1,esqvirtualpush,malicious
1,12,11815,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5.093,2444,5,manyhttp,malicious
1,8,1279,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.747,804,1,antchain-sdk-billing,malicious
1,10,18011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1613,1,selfcvcvmask,malicious
1,7,3507,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.753,1786,1,openwsaa,malicious
1,10,18324,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.233,1675,1,selfpippongpip,malicious
1,3,67257,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63521,2,python-binancee,malicious
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1610,1,tphttpvisa,malicious
1,10,17844,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.211,1584,1,loadvirtual,malicious
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1617,1,selfvisacpuhydra,malicious
1,10,18264,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1615,1,tpproofmcultra,malicious
1,10,18263,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,esqmcrandomget,malicious
1,12,2964,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4.769,1020,2,fuzzywuzy,malicious
1,8,3178,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4.818,2623,2,Sagepay,malicious
1,10,18387,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.18,1608,1,py-mcultracraft,malicious
1,8,1815,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.143,923,2,microsoftoauth,malicious
1,10,18324,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.241,1675,1,py-pywvisakill,malicious
1,10,18773,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1619,1,selfinfoencodegame,malicious
1,9,39403,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5.017,2146,1,speedyquests,malicious
1,10,17969,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1585,1,hydravirtual,malicious
1,10,18256,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,librandomstudy,malicious
1,10,17616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1609,1,esqpymask,malicious
1,8,1258,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.578,710,1,rabin-sharmakobau,malicious
1,10,2369,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.902,1694,3,thesis-uniud-package,malicious
1,10,17205,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1580,1,adpull,malicious
1,10,18009,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1614,1,libverpulled,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1612,1,selfinfopong,malicious
1,23,8102687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,1145,2,solanautil,malicious
1,10,19023,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1619,1,libcraftcontrolcraft,malicious
1,47,422560,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,4.832,342604,33,new-requests-2022,malicious
1,12,2322,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.891,973,2,pylint-redis,malicious
1,10,17485,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1608,1,tpreinfo,malicious
1,3,67248,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63515,2,progerssbar2,malicious
1,8,1189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.747,846,2,nvkvictim-poc,malicious
1,7,2749,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.708,1576,1,selennuim,malicious
1,10,18136,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.214,1614,1,librandloadad,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1611,1,tpsplitlgtb,malicious
1,10,17591,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1582,1,minehydra,malicious
1,10,18068,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.23,1673,1,selfvergetcc,malicious
1,10,18133,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.215,1614,1,tpramvisapush,malicious
1,11,2760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.951,1321,3,tonvia,malicious
0,11,13855,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.965,2993,2,kzip,malicious
1,10,17744,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.221,1610,1,py-pipcvad,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1611,1,libpushvisa,malicious
1,7,1077,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.93,713,1,malicus,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.22,1611,1,esqhttpinfo,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,beautiulsoup4,malicious
1,3,67245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63513,2,piynstaller,malicious
1,7,3489,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.719,1692,1,pillo2,malicious
1,8,1043,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.769,518,1,malimalo,malicious
1,7,3099,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.711,1562,1,py-crd,malicious
1,10,17745,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1611,1,libpongram,malicious
1,8,1181,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.672,727,1,sqlalchemy-presto,malicious
1,3,67242,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63511,2,xlsxwritre,malicious
