has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
1,7,2617,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.654,1524,1,1,0,1,1,6,2,5.263,1,10,Matplottlab,malicious
1,8,2611,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.659,1575,2,1,1,2,1,9,2,4.57,0,6,req-os,malicious
1,10,21146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.533,19799,2,1,0,1,1,1,0,3.434,2,10,282828282828282828,malicious
1,7,3345,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.764,1770,1,1,0,1,1,6,1,5.646,1,10,asyncci,malicious
1,7,28007,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5.116,26805,1,1,3,3,1,20,31,5.452,26,14,mallody,malicious
1,7,2816,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.671,1508,1,1,0,1,1,6,2,5.607,1,10,coloramia,malicious
1,11,37170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.027,992,1,1,0,1,1,2,0,3.691,0,10,crytic_compilers,malicious
1,7,3283,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.802,1886,1,0,0,0,0,0,0,0.0,0,0,BeautifolSoup,malicious
1,11,47633,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.125,1930,1,1,3,0,1,1,1,5.598,0,8,mozilla,malicious
1,7,3454,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.798,1915,1,0,0,0,0,0,0,0.0,0,0,werb3,malicious
1,8,2652,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.655,1578,2,1,1,2,1,9,2,4.57,0,6,matplotlib-req,malicious
1,7,2672,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.644,1463,1,0,0,0,0,0,0,0.0,0,0,requeksts,malicious
1,10,1638,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.562,837,3,1,1,1,1,3,0,0.0,0,10,websign,malicious
1,47,422602,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.84,342774,33,1,9,9,4,253,229,5.7,641,16,updated-requests,malicious
1,7,3962,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.822,2113,1,0,0,0,0,0,0,0.0,0,0,custoqtkinter,malicious
1,7,2751,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.722,1618,1,0,0,0,0,0,0,0.0,0,0,PyGaqme,malicious
1,68,974165,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4.767,279438,38,0,0,0,0,0,0,0.0,0,0,botoo3,malicious
1,10,2260,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.905,1467,2,1,3,0,1,1,2,5.63,0,8,setupyntx,malicious
1,7,3299,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.772,1772,1,0,0,0,0,0,0,0.0,0,0,wb3-py,malicious
1,29,98166,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,5.182,39484,17,1,6,0,2,58,18,5.602,67,18,stringe,malicious
1,10,16508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.894,15272,2,1,1,0,8,3,2,4.397,7,14,xolopfydnuxyfh,malicious
1,7,3620,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.806,1977,1,0,0,0,0,0,0,0.0,0,0,requirementt,malicious
1,7,2847,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5.717,1671,1,0,0,0,0,0,0,0.0,0,0,requirtements,malicious
1,7,3449,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.767,1841,1,0,0,0,0,0,0,0.0,0,0,seliniumn,malicious
1,9,49699,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6.027,49148,2,0,0,0,0,0,0,0.0,0,0,pypiion,malicious
1,7,3604,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.739,1778,1,0,0,0,0,0,0,0.0,0,0,reqoests,malicious
1,8,47524,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.539,47231,2,1,0,1,1,2,1,5.487,0,8,hyperreq,malicious
1,10,9554,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.515,8945,4,1,0,1,3,1,3,6.387,0,16,pycracker,malicious
