has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,ast_parse_success,ast_num_dangerous_builtin_calls,ast_num_getattr_obfuscation,ast_num_dynamic_calls,ast_num_imports,ast_num_high_entropy_strings,ast_max_string_entropy,ast_num_functions,ast_max_nesting_depth,package_name,label
0,10,43867,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,4.924,33801,1,1,1,0,0,19,34,5.355,29,18,requesters,malicious
0,11,8719,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.585,5320,2,1,1,0,0,2,0,0.0,0,5,fernets,malicious
1,8,2697,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.652,1535,2,1,1,0,0,9,1,4.57,0,6,beautifulsoup-scikit-learn,malicious
1,7,2699,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.694,1518,1,1,1,0,0,6,2,5.411,1,10,etheriumm,malicious
1,3,1422,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.825,875,2,1,1,0,0,7,0,0.0,0,8,relefpots,malicious
1,9,36819,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,4.92,35135,3,1,1,0,0,19,36,5.483,30,18,pipstyle,malicious
1,7,3061,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.724,1620,1,1,1,0,0,6,2,5.592,1,10,openza,malicious
1,7,2986,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.757,1739,1,1,1,0,0,6,1,5.583,1,10,requirment,malicious
1,76,479989,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,4.609,359846,34,1,3,0,3,257,244,5.7,664,16,invokehttp,malicious
1,7,2617,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.648,1496,1,1,1,0,0,6,2,5.263,1,10,Matplottlab,malicious
1,8,2611,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.657,1533,2,1,1,0,0,9,2,4.57,0,6,req-os,malicious
1,10,21146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.526,19771,2,1,1,0,0,1,0,3.434,2,10,282828282828282828,malicious
1,7,3345,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.759,1736,1,1,1,0,0,6,1,5.646,1,10,asyncci,malicious
1,7,28007,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,5.117,26746,1,1,2,0,0,20,31,5.452,26,14,mallody,malicious
1,7,2816,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.667,1477,1,1,1,0,0,6,2,5.607,1,10,coloramia,malicious
1,11,37170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.012,964,1,1,1,0,0,2,0,3.691,0,10,crytic_compilers,malicious
1,7,3283,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.799,1846,1,1,1,0,0,6,2,5.614,1,10,BeautifolSoup,malicious
1,11,47633,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.113,1899,1,1,3,0,0,1,1,5.574,0,8,mozilla,malicious
1,7,3454,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.796,1875,1,1,1,0,0,6,1,5.63,1,10,werb3,malicious
1,8,2652,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5.653,1536,2,1,1,0,0,9,2,4.57,0,6,matplotlib-req,malicious
1,7,2672,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.642,1429,1,1,1,0,0,6,2,5.546,1,10,requeksts,malicious
1,10,1638,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.542,806,3,1,2,0,0,3,0,0.0,0,10,websign,malicious
1,47,422602,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,4.83,342620,33,1,2,0,3,253,229,5.7,641,16,updated-requests,malicious
1,7,3962,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.82,2067,1,1,1,0,0,6,2,5.647,1,10,custoqtkinter,malicious
1,7,2751,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.722,1578,1,1,1,0,0,6,2,5.446,1,10,PyGaqme,malicious
1,68,974165,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4.765,279407,38,1,2,0,6,139,134,4.688,352,18,botoo3,malicious
1,10,2260,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.903,1436,2,1,3,0,0,1,2,5.614,0,8,setupyntx,malicious
1,7,3299,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.773,1726,1,1,1,0,0,6,2,5.627,1,10,wb3-py,malicious
1,29,98166,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,5.181,39422,17,1,6,0,0,58,18,5.578,67,18,stringe,malicious
1,10,16508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.894,15272,2,1,1,0,8,3,2,4.397,7,14,xolopfydnuxyfh,malicious
1,7,3620,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.803,1937,1,1,1,0,0,6,2,5.65,1,10,requirementt,malicious
1,7,2847,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.714,1634,1,1,1,0,0,6,1,5.551,1,10,requirtements,malicious
1,7,3449,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.763,1804,1,1,1,0,0,6,2,5.638,1,10,seliniumn,malicious
1,9,49699,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,6.024,49117,2,1,3,0,0,2,0,0.0,1,10,pypiion,malicious
1,7,3604,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.736,1741,1,1,1,0,0,6,2,5.632,1,10,reqoests,malicious
1,8,47524,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.535,47200,2,1,1,0,0,2,1,5.487,0,8,hyperreq,malicious
1,10,9554,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5.509,8914,4,1,1,0,2,1,3,6.387,0,16,pycracker,malicious
