has_setup_py,num_files,total_size_bytes,has_eval,has_exec,has_base64_decode,has_subprocess,has_os_system,has_socket,has_requests_call,has_urllib_request,has_env_access,has_setup_cmdclass_override,has_hex_or_b64_blob,has_getattr_dynamic,has_ctypes,has_marshal_pickle,num_non_py_executable_like,py_code_entropy,py_code_length,num_py_files,package_name,label
1,8,1750,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.022,1076,1,mianoplol,malicious
1,9,39412,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5.039,2193,1,request91,malicious
1,12,2644,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4.828,665,2,firstbasicpyapp,malicious
1,10,17872,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.218,1611,1,librandomvm,malicious
1,8,1553,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.801,876,1,ironic-secureboot-driver,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1581,1,pushmask,malicious
0,5,922,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.955,192,1,pyalicet,malicious
1,3,67266,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63527,2,reequests-toolbelt,malicious
1,3,67251,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.066,63517,2,propt-toolkit,malicious
1,7,3541,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.773,1800,1,pytorcu,malicious
1,10,18128,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1613,1,esqhydrasuper,malicious
1,10,17207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1579,1,httpmc,malicious
1,137,1396362,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,5.031,1308942,126,aliyun-oss2,malicious
1,10,18384,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1615,1,libmaskrandomcc,malicious
1,10,17204,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1579,1,vminfo,malicious
1,8,911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.427,405,1,klsosdoids2,malicious
1,12,5383,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.93,1442,3,binance-sdk-ebate,malicious
1,10,18523,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.217,1617,1,selfpostgrandgui,malicious
1,10,17488,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1608,1,py-strvm,malicious
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.21,1583,1,randpaypal,malicious
1,10,18640,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1617,1,libsuperhydrainfo,malicious
1,10,18000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.216,1612,1,py-randintel,malicious
1,12,2920,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4.74,1006,2,eepl,malicious
1,7,2827,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5.724,1682,1,customtkznter,malicious
1,10,17460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.212,1581,1,pywstudy,malicious
1,10,17716,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.209,1583,1,strreplace,malicious
1,10,18520,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.219,1617,1,libkillrandcandy,malicious
1,10,17588,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.209,1582,1,gameproof,malicious
1,3,1186430,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.821,1185893,2,tryhackme-offensive,malicious
1,10,25602,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.855,23971,3,walletsutils,malicious
1,10,36467,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,4.893,34650,2,more-colors,malicious
1,10,18596,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.201,1566,1,tpmaskvisacontrol,malicious
1,9,3070,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,5.49,1874,3,helmerter,malicious
1,8,98683,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,6.075,97726,2,pipcolouringskits,malicious
1,10,17812,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.231,1671,1,tppullccre,malicious
1,12,2962,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4.741,1012,2,statsmodel,malicious
1,3,749812,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.899,749281,2,panderequests,malicious
